age_at_season,age_squared,goals_per_90,assists_per_90,total_minutes,yellows_per_90,pos_attack,pos_midfield,pos_defender,pos_goalkeeper,international_caps,height_in_cm,is_top5_league,log_market_value,player_id,name,season_year,position,predicted_log_value,predicted_value_eur,actual_value_eur,residual,value_ratio
35,1225,0.436,0.262,1032.0,0.262,1,0,0,0,69,174,0,10.819778284410283,58993,Junior Hoilett,2025,Attack,13.765048116202422,950789.6379853854,50000.00000000001,-2.945269831792139,19.015792759707704
23,529,0.552,0.184,489.0,0.0,1,0,0,0,19,178,0,11.918390573078392,633434,Salih Kavrazlı,2025,Attack,14.583610604471694,2155666.6940675057,149999.99999999994,-2.665220031393302,14.371111293783377
36,1296,0.055,0.083,3251.0,0.138,0,1,0,0,135,174,1,13.815510557964274,126665,Idrissa Gueye,2025,Midfield,16.294481796133518,11928986.017662682,999999.9999999995,-2.478971238169244,11.928986017662687
19,361,0.0,0.187,482.0,0.373,1,0,0,0,8,175,0,11.225243392518447,969742,Osman Kaynak,2025,Attack,13.610156461277054,814358.9035614512,74999.99999999996,-2.384913068758607,10.85811871415269
33,1089,0.161,0.193,2799.0,0.096,0,1,0,0,107,180,1,14.508657738524219,314398,Jae-sung Lee,2025,Midfield,16.736176274098625,18553634.803417407,1999999.9999999993,-2.227518535574406,9.276817401708707
21,441,0.14,0.21,1283.0,0.07,1,0,0,0,6,178,0,12.206072645530174,717413,Oleg Pushkaryov,2025,Attack,14.42036167415841,1830979.5853825344,200000.00000000006,-2.2142890286282366,9.15489792691267
36,1296,0.457,0.43,3349.0,0.242,1,0,0,0,158,186,0,14.077874822431765,42460,Ivan Perišić,2025,Attack,16.21212214416152,10985888.506692862,1299999.9999999998,-2.134247321729754,8.450683466686819
32,1024,0.533,0.089,3037.0,0.148,1,0,0,0,41,172,0,13.122363377404328,140554,Martin Boyle,2025,Attack,15.251214688187899,4202603.147102182,499999.9999999997,-2.1288513107835705,8.405206294204369
23,529,0.235,0.0,767.0,0.704,0,1,0,0,3,183,0,11.918390573078392,626334,Roland Idowu,2025,Midfield,13.97248333166609,1169963.7596850942,149999.99999999994,-2.0540927585876982,7.799758397900631
23,529,0.053,0.212,1701.0,0.159,0,1,0,0,1,171,0,12.611537753638338,396540,Finlay Robertson,2025,Midfield,14.653237227125366,2311107.089296035,299999.9999999999,-2.0416994734870286,7.703690297653453
22,484,0.286,0.0,944.0,0.191,0,1,0,0,6,185,0,12.206072645530174,935095,Navin Malysh,2025,Midfield,14.232675606181925,1517652.978184156,200000.00000000006,-2.0266029606517506,7.588264890920777
34,1156,0.3,0.433,2702.0,0.1,1,0,0,0,119,177,1,14.914122846632385,46580,Andrej Kramaric,2025,Attack,16.919489165091058,22286444.13101924,3000000.0000000023,-2.005366318458673,7.42881471033974
25,625,0.0,0.0,738.0,0.244,0,1,0,0,28,170,0,12.072541252905651,503731,Stephen Duke-McKenna,2025,Midfield,14.074067316228934,1295059.653105434,175000.00000000003,-2.0015260633232828,7.400340874888193
21,441,0.043,0.043,2097.0,0.258,0,1,0,0,2,183,0,12.611537753638338,717203,Ivan Losenko,2025,Midfield,14.611021377681118,2215572.465890784,299999.9999999999,-1.9994836240427798,7.3852415529692825
23,529,0.049,0.196,3665.0,0.221,0,1,0,0,14,175,0,13.997832114758229,674809,Josh Mulligan,2025,Midfield,15.94426657118396,8404405.336685834,1199999.9999999998,-1.946434456425731,7.003671113904863
26,676,0.215,0.107,1675.0,0.107,1,0,0,0,6,185,0,12.611537753638338,622410,Denys Ustymenko,2025,Attack,14.539811206549203,2063287.6321544442,299999.9999999999,-1.9282734529108652,6.877625440514817
22,484,0.163,0.327,551.0,0.327,1,0,0,0,3,187,0,12.206072645530174,726035,Kiril Popov,2025,Attack,14.10417076427619,1334638.149852092,200000.00000000006,-1.8980981187460166,6.673190749260457
27,729,0.315,0.052,1717.0,0.105,1,0,0,0,0,173,0,12.611537753638338,382096,Bruce Anderson,2025,Attack,14.451273249259506,1888461.90579801,299999.9999999999,-1.8397354956211682,6.294873019326703
26,676,0.206,0.103,872.0,0.206,1,0,0,0,6,180,0,12.206072645530174,404851,Denis Yanakov,2025,Attack,14.042004587831947,1254195.1221007095,200000.00000000006,-1.835931942301773,6.2709756105035455
26,676,0.329,0.219,821.0,0.0,1,0,0,0,2,186,0,12.429216196844383,369111,Georgios Tzovaras,2025,Attack,14.252566268469238,1548142.3224444697,249999.99999999983,-1.823350071624855,6.192569289777883
24,576,0.068,0.205,1320.0,0.273,1,0,0,0,10,175,0,12.611537753638338,477938,Ali Yavuz Kol,2025,Attack,14.424996824060145,1839486.1495979251,299999.9999999999,-1.813459070421807,6.1316204986597524
30,900,0.124,0.247,728.0,0.0,1,0,0,0,14,183,0,11.918390573078392,260100,Conor McMenamin,2025,Attack,13.697705405328138,888869.2295687343,149999.99999999994,-1.7793148322497458,5.925794863791564
34,1156,0.258,0.086,1047.0,0.344,1,0,0,0,19,184,0,11.225243392518447,134602,Zé Luís,2025,Attack,12.97753083944923,432583.58182132494,74999.99999999996,-1.752287446930783,5.7677810909510026
25,625,0.142,0.178,2533.0,0.071,1,0,0,0,13,191,0,13.458835614025542,465326,Richonell Margaret,2025,Attack,15.205439203869657,4014563.5872240225,700000.0000000002,-1.7466035898441152,5.735090838891459
33,1089,0.0,0.03,3004.0,0.27,0,1,0,0,33,172,0,12.611537753638338,94928,Ruslan Babenko,2025,Midfield,14.350322955765282,1707127.9512538873,299999.9999999999,-1.7387852021269445,5.6904265041796265
